      AZ      EL   RANGE     LAT     LON     ALT  AP_LAT  AP_LON L_SHELL INV_LAT  ASPECT     CXR     CYR     CZR
 -120.00    6.00 1480.00   35.40  -84.98  316.22   46.22  -83.56    2.15   47.04  121.41    0.33   -0.79    0.52
 -120.00    6.00 1490.00   35.35  -85.06  319.42   46.19  -83.67    2.15   47.01  121.54    0.33   -0.79    0.52
 -120.00    6.00 1500.00   35.30  -85.14  322.63   46.16  -83.78    2.15   46.98  121.67    0.33   -0.79    0.53
 -120.00    6.00 1510.00   35.25  -85.22  325.86   46.13  -83.89    2.15   46.94  121.80    0.33   -0.78    0.53
 -120.00    6.00 1520.00   35.20  -85.29  329.09   46.10  -84.00    2.14   46.91  121.93    0.33   -0.78    0.53
 -120.00    6.00 1530.00   35.15  -85.37  332.35   46.07  -84.11    2.14   46.88  122.06    0.33   -0.78    0.53
 -120.00    6.00 1540.00   35.10  -85.45  335.61   46.04  -84.22    2.14   46.85  122.19    0.33   -0.78    0.53
 -120.00    6.00 1550.00   35.05  -85.53  338.89   46.00  -84.33    2.14   46.82  122.32    0.33   -0.78    0.53
 -120.00    6.00 1560.00   35.00  -85.60  342.18   45.97  -84.44    2.13   46.79  122.44    0.33   -0.78    0.54
 -120.00    6.00 1570.00   34.95  -85.68  345.48   45.94  -84.54    2.13   46.75  122.57    0.33   -0.78    0.54
 -120.00    6.00 1580.00   34.90  -85.75  348.80   45.91  -84.65    2.13   46.72  122.70    0.33   -0.78    0.54
 -120.00    6.00 1590.00   34.85  -85.83  352.13   45.88  -84.76    2.13   46.69  122.83    0.33   -0.77    0.54
 -120.00    6.00 1600.00   34.80  -85.91  355.48   45.85  -84.87    2.12   46.66  122.96    0.33   -0.77    0.54
 -120.00    6.00 1610.00   34.74  -85.98  358.83   45.82  -84.97    2.12   46.63  123.09    0.33   -0.77    0.55
 -120.00    6.00 1620.00   34.69  -86.06  362.20   45.78  -85.08    2.12   46.60  123.21    0.33   -0.77    0.55
 -120.00    6.00 1630.00   34.64  -86.13  365.59   45.75  -85.19    2.12   46.57  123.34    0.33   -0.77    0.55
 -120.00    6.00 1640.00   34.59  -86.21  368.98   45.72  -85.29    2.11   46.53  123.47    0.33   -0.77    0.55
 -120.00    6.00 1650.00   34.54  -86.28  372.39   45.69  -85.40    2.11   46.50  123.60    0.33   -0.77    0.55
 -120.00    6.00 1660.00   34.49  -86.36  375.82   45.66  -85.50    2.11   46.47  123.72    0.33   -0.76    0.56
 -120.00    6.00 1670.00   34.44  -86.43  379.25   45.63  -85.61    2.11   46.44  123.85    0.33   -0.76    0.56
 -120.00    6.00 1680.00   34.39  -86.51  382.70   45.60  -85.71    2.10   46.41  123.98    0.33   -0.76    0.56
 -120.00    6.00 1690.00   34.34  -86.58  386.16   45.57  -85.82    2.10   46.38  124.11    0.33   -0.76    0.56
 -120.00    6.00 1700.00   34.29  -86.65  389.64   45.53  -85.92    2.10   46.35  124.23    0.33   -0.76    0.56
 -120.00    6.00 1710.00   34.24  -86.73  393.13   45.50  -86.02    2.10   46.32  124.36    0.33   -0.76    0.56
 -120.00    6.00 1720.00   34.19  -86.80  396.63   45.47  -86.13    2.09   46.28  124.49    0.33   -0.76    0.57
 -120.00    6.00 1730.00   34.14  -86.88  400.14   45.44  -86.23    2.09   46.25  124.61    0.33   -0.76    0.57
 -120.00    6.00 1740.00   34.09  -86.95  403.67   45.41  -86.33    2.09   46.22  124.74    0.33   -0.75    0.57
 -120.00    6.00 1750.00   34.04  -87.02  407.21   45.38  -86.43    2.09   46.19  124.86    0.33   -0.75    0.57
 -120.00    6.00 1760.00   33.98  -87.10  410.76   45.35  -86.54    2.08   46.16  124.99    0.33   -0.75    0.57
 -120.00    6.00 1770.00   33.93  -87.17  414.32   45.32  -86.64    2.08   46.13  125.12    0.33   -0.75    0.58
 -120.00    6.00 1780.00   33.88  -87.24  417.90   45.29  -86.74    2.08   46.10  125.24    0.32   -0.75    0.58
 -120.00    6.00 1790.00   33.83  -87.31  421.49   45.26  -86.84    2.08   46.06  125.37    0.32   -0.75    0.58
 -120.00    6.00 1800.00   33.78  -87.39  425.10   45.22  -86.94    2.07   46.03  125.49    0.32   -0.75    0.58
 -120.00    6.00 1810.00   33.73  -87.46  428.72   45.19  -87.04    2.07   46.00  125.62    0.32   -0.75    0.58
 -120.00    6.00 1820.00   33.68  -87.53  432.34   45.16  -87.14    2.07   45.97  125.74    0.32   -0.74    0.58
 -120.00    6.00 1830.00   33.63  -87.60  435.99   45.13  -87.24    2.07   45.94  125.87    0.32   -0.74    0.59
 -120.00    6.00 1840.00   33.58  -87.68  439.64   45.10  -87.34    2.07   45.91  125.99    0.32   -0.74    0.59
 -120.00    6.00 1850.00   33.53  -87.75  443.31   45.07  -87.44    2.06   45.88  126.12    0.32   -0.74    0.59
 -120.00    6.00 1860.00   33.48  -87.82  446.99   45.04  -87.54    2.06   45.84  126.24    0.32   -0.74    0.59
 -120.00    6.00 1870.00   33.43  -87.89  450.68   45.01  -87.64    2.06   45.81  126.37    0.32   -0.74    0.59
 -120.00    6.00 1880.00   33.38  -87.96  454.39   44.98  -87.73    2.06   45.78  126.49    0.32   -0.74    0.59
 -120.00    6.00 1890.00   33.33  -88.03  458.11   44.95  -87.83    2.05   45.75  126.61    0.32   -0.74    0.60
 -120.00    6.00 1900.00   33.28  -88.10  461.84   44.92  -87.93    2.05   45.72  126.74    0.32   -0.73    0.60
 -120.00    6.00 1910.00   33.23  -88.17  465.58   44.89  -88.03    2.05   45.69  126.86    0.32   -0.73    0.60
 -120.00    6.00 1920.00   33.18  -88.24  469.34   44.86  -88.12    2.05   45.66  126.98    0.32   -0.73    0.60
 -120.00    6.00 1930.00   33.13  -88.31  473.11   44.83  -88.22    2.04   45.63  127.11    0.32   -0.73    0.60
 -120.00    6.00 1940.00   33.08  -88.38  476.89   44.80  -88.32    2.04   45.60  127.23    0.32   -0.73    0.61
 -120.00    6.00 1950.00   33.03  -88.45  480.68   44.77  -88.41    2.04   45.57  127.35    0.32   -0.73    0.61
 -120.00    6.00 1960.00   32.98  -88.52  484.49   44.74  -88.51    2.04   45.54  127.48    0.32   -0.73    0.61
 -120.00    6.00 1970.00   32.93  -88.59  488.31   44.71  -88.61    2.04   45.51  127.60    0.32   -0.73    0.61
 -120.00    6.00 1980.00   32.87  -88.66  492.14   44.68  -88.70    2.03   45.48  127.72    0.32   -0.72    0.61
 -120.00    6.00 1990.00   32.82  -88.73  495.98   44.65  -88.80    2.03   45.45  127.84    0.32   -0.72    0.61
 -120.00    6.00 2000.00   32.77  -88.80  499.84   44.62  -88.89    2.03   45.42  127.97    0.32   -0.72    0.62
 -120.00    6.00 2010.00   32.72  -88.87  503.71   44.59  -88.98    2.03   45.39  128.09    0.32   -0.72    0.62
 -120.00    6.00 2020.00   32.67  -88.94  507.59   44.56  -89.08    2.03   45.36  128.21    0.32   -0.72    0.62
 -120.00    6.00 2030.00   32.62  -89.01  511.48   44.53  -89.17    2.02   45.33  128.33    0.32   -0.72    0.62
 -120.00    6.00 2040.00   32.57  -89.08  515.39   44.50  -89.27    2.02   45.30  128.45    0.32   -0.72    0.62
 -120.00    6.00 2050.00   32.52  -89.15  519.30   44.47  -89.36    2.02   45.27  128.57    0.32   -0.72    0.62
 -120.00    6.00 2060.00   32.47  -89.22  523.23   44.44  -89.45    2.02   45.24  128.69    0.32   -0.71    0.63
 -120.00    6.00 2070.00   32.42  -89.28  527.18   44.41  -89.54    2.01   45.21  128.81    0.32   -0.71    0.63
 -120.00    6.00 2080.00   32.37  -89.35  531.13   44.38  -89.64    2.01   45.18  128.94    0.31   -0.71    0.63
 -120.00    6.00 2090.00   32.32  -89.42  535.10   44.35  -89.73    2.01   45.15  129.06    0.31   -0.71    0.63
 -120.00    6.00 2100.00   32.27  -89.49  539.08   44.32  -89.82    2.01   45.12  129.18    0.31   -0.71    0.63
 -120.00    6.00 2110.00   32.22  -89.56  543.07   44.29  -89.91    2.01   45.09  129.30    0.31   -0.71    0.63
 -120.00    6.00 2120.00   32.17  -89.62  547.07   44.26  -90.00    2.00   45.06  129.42    0.31   -0.71    0.63
 -120.00    6.00 2130.00   32.12  -89.69  551.09   44.23  -90.09    2.00   45.03  129.54    0.31   -0.71    0.64
 -120.00    6.00 2140.00   32.07  -89.76  555.11   44.20  -90.18    2.00   45.00  129.66    0.31   -0.70    0.64
 -120.00    6.00 2150.00   32.02  -89.82  559.15   44.17  -90.27    2.00   44.97  129.77    0.31   -0.70    0.64
 -120.00    6.00 2160.00   31.97  -89.89  563.20   44.14  -90.36    2.00   44.95  129.89    0.31   -0.70    0.64
 -120.00    6.00 2170.00   31.92  -89.96  567.27   44.11  -90.45    1.99   44.92  130.01    0.31   -0.70    0.64
 -120.00    6.00 2180.00   31.87  -90.02  571.34   44.08  -90.54    1.99   44.89  130.13    0.31   -0.70    0.64
 -120.00    6.00 2190.00   31.82  -90.09  575.43   44.06  -90.63    1.99   44.86  130.25    0.31   -0.70    0.65
 -120.00    6.00 2200.00   31.77  -90.16  579.53   44.03  -90.72    1.99   44.83  130.37    0.31   -0.70    0.65
 -120.00    6.00 2210.00   31.72  -90.22  583.64   44.00  -90.81    1.99   44.80  130.49    0.31   -0.70    0.65
 -120.00    6.00 2220.00   31.67  -90.29  587.77   43.97  -90.90    1.98   44.77  130.60    0.31   -0.69    0.65
 -120.00    6.00 2230.00   31.62  -90.35  591.90   43.94  -90.98    1.98   44.74  130.72    0.31   -0.69    0.65
 -120.00    6.00 2240.00   31.57  -90.42  596.05   43.91  -91.07    1.98   44.71  130.84    0.31   -0.69    0.65
 -120.00    6.00 2250.00   31.52  -90.49  600.21   43.88  -91.16    1.98   44.68  130.96    0.31   -0.69    0.66
 -120.00    6.00 2260.00   31.47  -90.55  604.38   43.86  -91.24    1.98   44.65  131.07    0.30   -0.69    0.66
 -120.00    6.00 2270.00   31.42  -90.62  608.56   43.83  -91.33    1.97   44.62  131.19    0.30   -0.69    0.66
 -120.00    6.00 2280.00   31.37  -90.68  612.76   43.80  -91.42    1.97   44.60  131.31    0.30   -0.69    0.66
 -120.00    6.00 2290.00   31.33  -90.75  616.96   43.77  -91.50    1.97   44.57  131.43    0.30   -0.69    0.66
 -120.00    6.00 2300.00   31.28  -90.81  621.18   43.74  -91.59    1.97   44.54  131.54    0.30   -0.68    0.66
 -120.00    6.00 2310.00   31.23  -90.88  625.41   43.71  -91.67    1.97   44.51  131.66    0.30   -0.68    0.66
 -120.00    6.00 2320.00   31.18  -90.94  629.65   43.69  -91.76    1.96   44.48  131.77    0.30   -0.68    0.67
 -120.00    6.00 2330.00   31.13  -91.00  633.91   43.66  -91.84    1.96   44.46  131.89    0.30   -0.68    0.67
 -120.00    6.00 2340.00   31.08  -91.07  638.17   43.63  -91.93    1.96   44.43  132.01    0.30   -0.68    0.67
 -120.00    6.00 2350.00   31.03  -91.13  642.45   43.60  -92.01    1.96   44.40  132.12    0.30   -0.68    0.67
 -120.00    6.00 2360.00   30.98  -91.20  646.74   43.58  -92.10    1.96   44.37  132.24    0.30   -0.68    0.67
 -120.00    6.00 2370.00   30.93  -91.26  651.04   43.55  -92.18    1.96   44.35  132.35    0.30   -0.68    0.67
 -120.00    6.00 2380.00   30.88  -91.32  655.35   43.52  -92.26    1.95   44.32  132.47    0.30   -0.68    0.68
 -120.00    6.00 2390.00   30.83  -91.39  659.67   43.49  -92.35    1.95   44.29  132.58    0.30   -0.67    0.68
 -120.00    6.00 2400.00   30.78  -91.45  664.01   43.47  -92.43    1.95   44.26  132.70    0.30   -0.67    0.68
 -120.00    6.00 2410.00   30.73  -91.51  668.36   43.44  -92.51    1.95   44.24  132.81    0.29   -0.67    0.68
 -120.00    6.00 2420.00   30.68  -91.58  672.71   43.41  -92.59    1.95   44.21  132.92    0.29   -0.67    0.68
 -120.00    6.00 2430.00   30.63  -91.64  677.08   43.39  -92.68    1.94   44.18  133.04    0.29   -0.67    0.68
 -120.00    6.00 2440.00   30.58  -91.70  681.46   43.36  -92.76    1.94   44.16  133.15    0.29   -0.67    0.68
 -120.00    6.00 2450.00   30.54  -91.77  685.86   43.33  -92.84    1.94   44.13  133.26    0.29   -0.67    0.69
 -120.00    6.00 2460.00   30.49  -91.83  690.26   43.30  -92.92    1.94   44.10  133.38    0.29   -0.67    0.69
 -120.00    6.00 2470.00   30.44  -91.89  694.68   43.28  -93.00    1.94   44.07  133.49    0.29   -0.67    0.69
 -120.00    6.00 2480.00   30.39  -91.95  699.10   43.25  -93.08    1.94   44.05  133.60    0.29   -0.66    0.69
 -120.00    6.00 2490.00   30.34  -92.02  703.54   43.22  -93.16    1.93   44.02  133.72    0.29   -0.66    0.69
 -120.00    6.00 2500.00   30.29  -92.08  707.99   43.20  -93.24    1.93   44.00  133.83    0.29   -0.66    0.69
 -119.00    6.00  600.00   39.88  -77.52   89.48   48.94  -72.80    2.40   49.78  109.30    0.26   -0.91    0.33
 -119.00    6.00  610.00   39.83  -77.61   91.43   48.92  -72.93    2.40   49.76  109.43    0.26   -0.91    0.33
 -119.00    6.00  620.00   39.79  -77.71   93.39   48.89  -73.07    2.39   49.73  109.57    0.27   -0.90    0.33
 -119.00    6.00  630.00   39.74  -77.80   95.37   48.86  -73.20    2.39   49.70  109.70    0.27   -0.90    0.34
 -119.00    6.00  640.00   39.69  -77.90   97.36   48.84  -73.34    2.39   49.68  109.84    0.27   -0.90    0.34
 -119.00    6.00  650.00   39.64  -77.99   99.37   48.81  -73.47    2.39   49.65  109.97    0.27   -0.90    0.34
 -119.00    6.00  660.00   39.60  -78.08  101.40   48.79  -73.61    2.38   49.62  110.11    0.27   -0.90    0.34
 -119.00    6.00  670.00   39.55  -78.18  103.44   48.76  -73.74    2.38   49.60  110.24    0.27   -0.90    0.35
 -119.00    6.00  680.00   39.50  -78.27  105.49   48.73  -73.88    2.38   49.57  110.38    0.27   -0.90    0.35
 -119.00    6.00  690.00   39.45  -78.36  107.56   48.70  -74.01    2.37   49.54  110.51    0.27   -0.90    0.35
 -119.00    6.00  700.00   39.41  -78.46  109.64   48.68  -74.15    2.37   49.51  110.65    0.27   -0.89    0.35
 -119.00    6.00  710.00   39.36  -78.55  111.74   48.65  -74.28    2.37   49.49  110.78    0.27   -0.89    0.35
 -119.00    6.00  720.00   39.31  -78.64  113.85   48.62  -74.42    2.37   49.46  110.92    0.28   -0.89    0.36
 -119.00    6.00  730.00   39.26  -78.74  115.98   48.60  -74.55    2.36   49.43  111.05    0.28   -0.89    0.36
 -119.00    6.00  740.00   39.21  -78.83  118.12   48.57  -74.68    2.36   49.40  111.19    0.28   -0.89    0.36
 -119.00    6.00  750.00   39.17  -78.92  120.28   48.54  -74.81    2.36   49.38  111.33    0.28   -0.89    0.36
 -119.00    6.00  760.00   39.12  -79.01  122.45   48.51  -74.95    2.36   49.35  111.46    0.28   -0.89    0.37
 -119.00    6.00  770.00   39.07  -79.10  124.63   48.49  -75.08    2.35   49.32  111.60    0.28   -0.89    0.37
 -119.00    6.00  780.00   39.02  -79.20  126.83   48.46  -75.21    2.35   49.29  111.73    0.28   -0.89    0.37
 -119.00    6.00  790.00   38.97  -79.29  129.05   48.43  -75.34    2.35   49.26  111.87    0.28   -0.88    0.37
 -119.00    6.00  800.00   38.92  -79.38  131.28   48.40  -75.48    2.35   49.24  112.00    0.28   -0.88    0.37
 -119.00    6.00  810.00   38.88  -79.47  133.52   48.38  -75.61    2.34   49.21  112.14    0.28   -0.88    0.38
 -119.00    6.00  820.00   38.83  -79.56  135.78   48.35  -75.74    2.34   49.18  112.27    0.28   -0.88    0.38
 -119.00    6.00  830.00   38.78  -79.65  138.05   48.32  -75.87    2.34   49.15  112.40    0.29   -0.88    0.38
 -119.00    6.00  840.00   38.73  -79.74  140.34   48.29  -76.00    2.33   49.12  112.54    0.29   -0.88    0.38
 -119.00    6.00  850.00   38.68  -79.83  142.64   48.26  -76.13    2.33   49.09  112.67    0.29   -0.88    0.39
 -119.00    6.00  860.00   38.63  -79.92  144.96   48.24  -76.26    2.33   49.06  112.81    0.29   -0.88    0.39
 -119.00    6.00  870.00   38.59  -80.01  147.29   48.21  -76.39    2.33   49.04  112.94    0.29   -0.87    0.39
 -119.00    6.00  880.00   38.54  -80.10  149.64   48.18  -76.52    2.32   49.01  113.08    0.29   -0.87    0.39
 -119.00    6.00  890.00   38.49  -80.19  152.00   48.15  -76.65    2.32   48.98  113.21    0.29   -0.87    0.39
 -119.00    6.00  900.00   38.44  -80.28  154.37   48.12  -76.78    2.32   48.95  113.35    0.29   -0.87    0.40
